id,domain,category,subcategory,hanja,hangul,title,body,source
G001,관상학,이론,관상학 개론과 역사,,,관상학이란 무엇인가,"관상학은 얼굴·골격·피부 등 신체적 특징을 관찰해 성격과 기질, 삶의 경향을 짐작해보려는 오래된 관찰 체계입니다. '내면의 상태가 겉으로 드러난다'는 심신일원론적 사고가 핵심 전제입니다. 서양에서는 고대 그리스 아리스토텔레스 시대부터 관상에 대한 기록이 있었고, 18세기 스위스의 라바터가 이를 학문적으로 체계화했습니다. 다만 19세기 이탈리아의 범죄학자 롬브로소가 '범죄형 얼굴'을 주장하며 우생학적 차별로 악용된 뼈아픈 역사도 있습니다. 동양에서는 중국 춘추전국시대부터 관상에 대한 기록이 나타나며, 삼국시대 무렵 한반도에 전해져 조선시대에 크게 성행했습니다. 오늘날 관상학은 과학적으로 검증된 체계는 아니지만, 문화 콘텐츠이자 자기 이해의 도구로 여전히 널리 소비되고 있습니다.",위키백과 '관상학' (ko.wikipedia.org)
G002,관상학,이론,마의상법 소개,,,"마의상법(麻衣相法), 동양 관상학의 경전","동양 관상학이 체계적인 이론으로 정립된 것은 송나라 초기 '마의도자(麻衣道者)'라는 인물에 의해서라고 전해집니다. 그가 저술했다고 알려진 《마의상법》은 동양 관상학의 대표적인 고전으로 취급되며, 이후 여러 유파의 관상 이론이 이 책의 틀 위에서 발전해 왔습니다. 마의상법은 얼굴을 삼정(三停)·오악(五嶽)·십이궁(十二宮) 등 여러 구획으로 나누고, 각 부위의 형태와 균형을 통해 성격과 운을 해석하는 방법론을 제시합니다. 오늘날 대중적으로 통용되는 관상 용어와 해석 대부분이 이 전통에 뿌리를 두고 있습니다.",위키백과 '관상학' (ko.wikipedia.org)
G003,관상학,이론,형기신 이론,,,"형(形)·기(氣)·신(神), 관상을 보는 세 층위","전통 관상학에서는 사람을 살필 때 형(形, 겉으로 드러난 형태)·기(氣, 혈색과 기운)·신(神, 눈빛과 정신적 인상)을 함께 본다고 말합니다. 형은 얼굴의 생김새와 골격 같은 정적인 요소이고, 기는 그날그날의 혈색·컨디션처럼 변화하는 요소이며, 신은 눈빛이나 표정에서 느껴지는 정신적인 인상을 가리킵니다. 즉 전통 관상학은 고정된 얼굴 생김새만 보는 것이 아니라, 그 사람의 기색과 눈빛, 표정이 시시각각 전달하는 인상까지 종합적으로 살피는 것을 이상적인 관법으로 여겼습니다. 이 앱에서 여러 표정을 촬영해 함께 분석하는 것도 이런 '형·기·신을 함께 본다'는 전통적 관점을 반영한 설계입니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
G004,관상학,이론,기색론,,,"기색(氣色), 얼굴에 드러나는 그날의 기운","기색론은 얼굴의 고정된 생김새가 아니라, 그날그날 달라지는 안색과 혈색, 표정의 생기를 통해 컨디션과 운의 흐름을 짐작해보는 관점입니다. 안색이 맑고 윤기가 있으면 기운이 좋은 시기로, 얼굴빛이 어둡고 탁하면 몸과 마음이 지친 시기로 해석하는 식입니다. 이는 '타고난 관상은 바뀌지 않아도, 그날의 기색은 마음가짐과 컨디션에 따라 달라질 수 있다'는 생각과 연결되며, 흔히 '相好不如身好 身好不如心好(상이 좋은 것보다 몸이 좋은 것이 낫고, 몸이 좋은 것보다 마음이 좋은 것이 낫다)'는 말로 요약되곤 합니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
G005,관상학,이론,삼정론,,,"삼정(三停), 얼굴로 보는 인생의 세 시기","삼정은 얼굴을 가로로 세 구역, 즉 이마부터 눈썹까지의 상정(上停), 눈썹부터 코끝까지의 중정(中停), 코끝부터 턱끝까지의 하정(下停)으로 나누는 관법입니다. 상정은 초년운(대략 1~30세)과 지혜·학업운을, 중정은 중년운(31~50세)과 자수성가·재물운을, 하정은 말년운(51세 이후)과 포용력·부하운을 상징한다고 봅니다. 세 구역의 길이와 균형이 비슷하게 조화를 이룰수록 인생 전체가 고르게 안정적으로 흘러간다고 해석하는 것이 삼정론의 기본 관점입니다.",운세길 '관상이란' (saju.nomadinfo.co.kr/guide/gwansang)
G006,관상학,이론,오악론,,,"오악(五嶽), 얼굴 위의 다섯 산","오악은 얼굴의 다섯 부위 — 이마·코·좌우 광대·턱 — 를 중국의 다섯 명산에 비유해 부르는 이름입니다. 이마는 북악, 코는 중악, 좌측 광대는 동악, 우측 광대는 서악, 턱은 남악에 해당한다고 봅니다. 다섯 산이 각각 적당히 도드라져 있으면서도 서로 조화를 이루면 좋은 상으로 여기며, 특히 얼굴 정중앙에 있는 코(중악)가 오악의 중심으로서 재물운과 자존감의 핵심으로 해석됩니다.",운세길 '관상이란' (saju.nomadinfo.co.kr/guide/gwansang)
G007,관상학,이론,동서양 관상학 비교,,,"동양의 관상학과 서양의 인상학, 무엇이 다른가","서양의 관상학(physiognomy)은 주로 얼굴의 각도·비례·대칭 등 기하학적 요소를 중시하며 발전했고, 후에는 심리학의 '첫인상 효과' 연구와 맞닿아 있습니다. 반면 동양의 관상학은 삼정·오악·십이궁처럼 얼굴을 상징적인 구역으로 나누고, 그 구역이 상징하는 삶의 영역(재물·형제·자녀·건강 등)과 연결짓는 방식으로 발전했습니다. 두 전통 모두 '얼굴을 보고 사람을 판단한다'는 점은 같지만, 서양이 통계·유형 분류에 가까웠다면 동양은 우주와 인간을 하나로 보는 음양오행 철학 위에서 발전했다는 차이가 있습니다.",위키백과 '관상학' (ko.wikipedia.org)
G008,관상학,이론,관상과 나이,,,관상은 나이에 따라 어떻게 달라지나,"전통 관상학에서는 얼굴의 각 부위가 인생의 특정 나이대를 관장한다고 보는 '유년운기부위가(流年運氣部位歌)'라는 세부 이론이 전해집니다. 이마부터 시작해 눈썹·눈·코·인중·입·턱 순서로 내려가며 대략 1세부터 100세까지의 나이를 부위별로 대응시키는 방식입니다. 예를 들어 이마는 10대~20대 초반, 코는 40대 전후, 턱은 노년기와 연결짓는 식입니다. 이는 얼굴 전체를 '내 인생의 연대기'처럼 읽으려 했던 전통적 관점을 보여줍니다.",운세길 '관상이란' (saju.nomadinfo.co.kr/guide/gwansang)
G009,관상학,이론,관상 보는 순서,,,전통적으로 관상을 보는 순서,"전통 관상에서는 무작정 이목구비 하나하나를 보기보다, 먼저 전체적인 인상(형·기·신)을 살핀 뒤 삼정의 균형을 보고, 그다음 오악과 십이궁 같은 세부 구획을 살피고, 마지막으로 눈·코·입 등 개별 이목구비의 디테일을 보는 순서를 따른다고 전해집니다. 즉 숲을 먼저 보고 나무를 본다는 관점으로, 개별 특징 하나만으로 성급하게 판단하지 않는 것이 전통 관상가들의 기본 태도였다고 합니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
G010,관상학,이론,얼굴의 좌우 비대칭,,,좌우 얼굴이 다르게 보이는 이유와 관상학적 해석,"사람의 얼굴은 완벽한 좌우 대칭이 아니며, 전통 관상학에서는 왼쪽을 남성적·양(陽)의 기운, 오른쪽을 여성적·음(陰)의 기운과 연결짓는 해석이 전해집니다. 또한 두 관법 중 하나로 왼쪽을 자기 자신, 오른쪽을 배우자나 타인과의 관계로 나눠 보기도 합니다. 다만 이런 좌우 해석은 유파에 따라 기준이 다르므로, 절대적인 규칙이라기보다 여러 관법 중 하나로 참고하는 것이 좋습니다.",사주팔자 무료 분석 '관상학 입문' (sajupalza.cc/face-reading/intro)
