id,domain,category,subcategory,hanja,hangul,title,body,source
S001,사주학,이론,사주명리학 개론,,,사주명리학이란 무엇인가,"사주명리학(四柱命理學)은 태어난 연·월·일·시, 네 개의 기둥(四柱)을 각각 천간(天干)과 지지(地支) 두 글자씩 총 여덟 글자(八字)로 환산하고, 그 여덟 글자 사이의 오행(五行) 생극(生剋) 관계를 통해 타고난 기질과 삶의 경향성을 읽어보려는 동아시아의 전통 학문입니다. 중국 당·송대에 이론적 골격이 다듬어졌고, 이후 명·청대를 거치며 자평명리(子平命理) 체계로 정립되어 한국·일본에도 전해졌습니다. 사주는 년주(年柱)·월주(月柱)·일주(日柱)·시주(時柱)로 구성되며, 이 중 일주의 천간, 즉 '일간(日干)'을 자기 자신을 상징하는 기준점으로 삼아 나머지 일곱 글자와의 관계를 분석하는 것이 핵심입니다. 현대에는 통계적·과학적으로 검증된 체계는 아니지만, 자기 성찰의 도구이자 문화적 콘텐츠로 폭넓게 소비되고 있습니다.",위키백과 '사주명리학' (ko.wikipedia.org)
S002,사주학,이론,음양오행론,,,"음양오행(陰陽五行), 사주의 기본 언어","음양(陰陽)은 세상 모든 것을 상대적인 두 기운으로 나누는 개념이고, 오행(五行)은 목(木)·화(火)·토(土)·금(金)·수(水) 다섯 가지 기운의 순환으로 자연과 인간사를 설명하는 틀입니다. 사주의 열 개 천간과 열두 개 지지는 모두 이 오행 중 하나에 속하면서 음 또는 양의 성질을 함께 지닙니다. 예를 들어 갑(甲)은 양의 목, 을(乙)은 음의 목입니다. 오행은 서로 낳아주는 상생(相生) 관계(목생화, 화생토, 토생금, 금생수, 수생목)와 서로 억제하는 상극(相剋) 관계(목극토, 토극수, 수극화, 화극금, 금극목)로 얽혀 있으며, 사주 여덟 글자 안에서 이 오행들이 어떻게 분포하고 서로 영향을 주는지를 살피는 것이 명리 해석의 출발점입니다.",위키백과 '사주명리학' (ko.wikipedia.org)
S003,사주학,이론,십성이란 무엇인가,,,"십성(十星)·십신(十神), 나와 세상의 열 가지 관계","십성(十星, 십신十神이라고도 함)은 사주의 기준점인 일간(日干)을 '나'로 놓고, 나머지 일곱 글자가 나와 어떤 오행 생극 관계에 있는지를 열 가지 이름으로 분류한 것입니다. 나와 같은 오행이면서 음양도 같으면 비견(比肩), 음양이 다르면 겁재(劫財)라 부르는 식으로, 오행의 생·극 방향과 음양의 같고 다름을 조합하면 비견·겁재·식신·상관·편재·정재·편관·정관·편인·정인 열 가지 조합이 만들어집니다. 십성은 단순한 오행 분류를 넘어 그 사람의 심리적 경향(주체성, 표현력, 재물관, 대인관계 방식 등)과 사회적 역할을 읽는 언어로 쓰이며, 어느 십성이 사주에 많고 적은지를 통해 성격과 적성을 유추하는 것이 명리 상담의 대표적인 방법입니다.",사주스터디 '십성·십신·육친' (sajustudy.com/47)
S004,사주학,이론,십이운성 개론,,,"십이운성(十二運星), 기운의 생로병사","십이운성(포태법胞胎法이라고도 함)은 일간의 기운이 각 지지 위에서 얼마나 강하게 뿌리내리는지를 사람의 일생에 빗대어 열두 단계로 표현한 이론입니다. 태(胎)에서 잉태되어 양(養)으로 자라고, 장생(長生)으로 태어나 목욕(沐浴)을 거치고, 관대(冠帶)로 성인이 되어 건록(建祿)으로 자립하고, 제왕(帝旺)에서 절정을 맞은 뒤 쇠(衰)·병(病)·사(死)·묘(墓)를 거쳐 절(絶)에 이르러 한 순환을 마칩니다. 이 열두 단계는 단순히 '좋다/나쁘다'로 나뉘지 않고, 각 단계마다 고유한 에너지의 성격(시작의 힘, 절정의 힘, 저장의 힘 등)이 있다고 해석하는 것이 특징입니다.",사주스터디 '십이운성' (sajustudy.com/76)
S005,사주학,이론,근묘화실,,,"근묘화실(根苗花實), 네 기둥이 인생의 네 시기를 담다","근묘화실은 사주의 년·월·일·시 네 기둥을 식물이 자라는 과정(뿌리-싹-꽃-열매)에 비유한 전통적 관점입니다. 년주는 뿌리(根)로 조상·가문·유년기의 배경을, 월주는 싹(苗)으로 부모·형제·청년기의 사회적 환경을, 일주는 꽃(花)으로 자기 자신과 배우자·중년기를, 시주는 열매(實)로 자녀와 노년기의 결실을 상징한다고 봅니다. 이 관점은 사주를 단순히 '지금의 나'만이 아니라 시간의 흐름에 따라 펼쳐지는 인생의 서사로 읽으려는 시도라고 할 수 있습니다.",위키백과 '사주명리학' (ko.wikipedia.org)
S006,사주학,이론,대운과 세운,,,"대운(大運)과 세운(歲運), 시간에 따라 바뀌는 기운","타고난 사주 여덟 글자(원국原局)가 평생 변하지 않는 '타고난 그릇'이라면, 대운과 세운은 그 그릇 위에 시간이 흐르며 덧씌워지는 '흐르는 기운'입니다. 대운은 태어난 월주를 기준으로 10년 단위로 바뀌는 큰 흐름이고, 세운은 매년 바뀌는 그 해의 기운입니다. 명리학에서는 원국에 부족하거나 필요한 오행이 대운·세운에서 들어올 때 사회적 성취나 변화가 두드러진다고 해석합니다. 즉 같은 사주를 타고났더라도 어느 시기를 지나는지에 따라 삶의 흐름이 달라진다고 보는 것이 대운·세운 이론의 핵심입니다.",사자사주 '용신 뜻과 보는 법' (sazasaju.com/blog/yongsin-guide)
S007,사주학,이론,신강신약과 용신,,,신강(身强)·신약(身弱)과 용신(用神),"일간을 중심으로, 사주 나머지 글자들이 일간과 같은 편(비겁·인성, 힘을 보태주는 기운)이 많은지, 다른 편(식상·재성·관성, 힘을 소모시키는 기운)이 많은지를 따져 '몸이 강하다(身强)' 혹은 '몸이 약하다(身弱)'로 나누는 것이 신강신약론입니다. 용신(用神)은 이 균형을 잡아주는 데 가장 필요한 오행을 가리키는 개념으로, 신약한 사주는 힘을 보태주는 오행을, 신강한 사주는 힘을 눌러주거나 흘려보내는 오행을 용신으로 삼는 경우가 많습니다. 다만 실제로는 월령(태어난 계절)과 지지 통근 여부까지 함께 따지는 훨씬 정교한 이론이며, 이 앱의 '신강/신약 간이 판정'은 그 중 가장 단순화된 방식임을 밝혀둡니다.",사자사주 '용신 뜻과 보는 법' (sazasaju.com/blog/yongsin-guide)
S008,사주학,이론,궁합 보는 법 개요,,,"사주 궁합, 무엇을 비교하나","사주 궁합은 두 사람의 여덟 글자를 나란히 놓고 비교하는 것에서 출발합니다. 대표적으로 살펴보는 세 가지는 (1) 오행 궁합 — 두 사람의 오행 분포가 서로 상생 관계인지 상극 관계인지, (2) 재관(財官)의 유무 — 서로에게 재성(재물·현실감)과 관성(책임감·안정성)의 기운을 채워주는지, (3) 합(合)과 충(沖) — 두 사람의 천간·지지끼리 서로 합하여 좋은 기운을 만드는지 혹은 충돌하는지입니다. 다만 궁합은 두 사람의 성향 차이를 이해하는 참고 자료로 보는 것이 바람직하며, 관계의 성패를 결정짓는 절대적 기준으로 보기는 어렵습니다.",사자사주 '사주 궁합 보는법 5단계' (sazasaju.com/blog/gunghap-guide)
S009,사주학,이론,십성과 연애·인간관계,,,십성으로 보는 애정운·대인관계,"명리 상담에서는 관성(정관·편관)을 이성운·책임관계, 재성(정재·편재)을 이성에게 끌리는 힘·현실적 애정 표현, 비겁(비견·겁재)을 라이벌 의식이나 주체성, 식상(식신·상관)을 매력과 표현력으로 연결지어 해석하는 경우가 많습니다. 예를 들어 도화살처럼 이성에게 인기가 많다고 여겨지는 신살이 함께 있으면 그 매력이 더 두드러진다고 보기도 합니다. 다만 이는 여러 해석 방식 중 하나이며, 사람마다 다른 유파와 관점이 존재한다는 점을 참고해 주세요.",사자사주 '사주 연애운 보는법' (sazasaju.com/blog/love-fortune-guide)
S010,사주학,이론,육십갑자란,,,"육십갑자(六十甲子), 60개의 고유한 조합","열 개의 천간과 열두 개의 지지를 순서대로 하나씩 짝지으면, 최소공배수인 60개의 조합이 만들어지고 61번째부터는 처음 조합이 다시 반복됩니다. 이 60가지 조합을 육십갑자라 부르며, 전통적으로 해와 날짜를 세는 단위로도 쓰였습니다. 육십갑자 각각에는 '납음오행(納音五行)'이라는 별도의 상징적 이름(예: 갑자을축 해중금海中金 등)이 붙어 있는데, 이는 천간·지지 자체의 오행과는 또 다른, 두 글자씩 묶어 부여한 별칭 개념의 오행입니다. 아래 60개 항목은 각 갑자의 천간·지지 성격을 결합해 정리한 것입니다.",위키백과 '사주명리학' (ko.wikipedia.org)
